Unnamed: 0,Port of Ningbo-Zhoushan,Port of Shanghai,Port of Guangzhou,Port of Qingdao,Port of Tianjin,Port of Dalian,Port of Tangshan,Port of Rizhao,Port of Lianyungang,Port of Yantai,Port of Busan,Port of Ulsan,Port of Gwangyang,Port of Incheon,Port of Kaohsiung,Port of Taichung,Port of Keelung,Port of Nagoya,Port of Yokohama,Port of Kobe,Port of Santos,Port of Tubarao,Port of Itaqui,Port of Paranagua,Port of Rio Grande,Port of Sao Francisco do Sul,Port of Vitoria,Port of Buenos Aires,Port of Bahia Blanca,Port of Montevideo
Port of Ningbo-Zhoushan,0,82,601,377,580,543,609,349,308,456,497,519,436,523,440,345,285,837,972,749,10068,9669,8982,10219,10456,10244,9669,10523,10243,10484
Port of Shanghai,82,0,655,296,502,462,530,271,232,374,448,469,383,454,520,426,366,807,943,720,10027,9628,8909,10179,10477,10208,9628,10604,10321,10557
Port of Guangzhou,601,655,0,860,979,1039,1022,807,756,959,1098,1120,1035,1104,390,408,480,1427,1559,1340,9684,9326,9014,9801,9864,9803,9326,9991,9844,9910
Port of Qingdao,377,296,860,0,217,181,238,57,105,98,427,436,364,315,807,713,660,807,937,729,9806,9420,8625,9955,10362,9992,9420,10701,10604,10625
Port of Tianjin,580,502,979,217,0,182,44,231,274,199,590,591,537,434,992,901,857,946,1067,877,9593,9212,8410,9740,10158,9779,9212,10484,10790,10424
Port of Dalian,543,462,1039,181,182,0,166,232,284,87,422,420,377,256,980,886,828,766,885,699,9719,9351,8494,9861,10293,9902,9351,10548,10625,10544
Port of Tangshan,609,530,1022,238,44,166,0,260,306,201,584,584,534,421,1027,935,889,931,1050,865,9582,9204,8387,9728,10151,9767,9204,10463,10749,10415
Port of Rizhao,349,271,807,57,231,232,260,0,52,153,468,478,402,367,770,677,629,850,982,770,9800,9410,8640,9950,10343,9986,9410,10693,10592,10593
Port of Lianyungang,308,232,756,105,274,284,306,52,0,203,486,499,418,402,721,629,583,870,1003,788,9819,9425,8677,9970,10346,10004,9425,10689,10550,10579
Port of Yantai,456,374,959,98,199,87,201,153,203,0,393,397,338,251,893,798,741,760,885,686,9782,9406,8571,9926,10352,9966,9406,10635,10616,10615
Port of Busan,497,448,1098,427,590,422,584,468,486,393,0,24,69,178,883,794,713,383,517,302,10092,9753,8815,10214,10609,10258,9753,10439,10224,10549
